"results__name","results__domain","results__fullDomain","results__logo","results__links__pricing","results__links__privacyPolicy","results__links__tos","results__links__security","results__links__gdpr","pagination__pageCount","pagination__rangeStart","pagination__rangeEnd","pagination__page","pagination__totalItems","pagination__itemsPerPage","total"
"Sendbloom","sendbloom.com","https://sendbloom.com","https://logo.clearbit.com/sendbloom.com?size=36","","https://www.sendbloom.com/about/privacy/","https://www.sendbloom.com/about/terms/","","","","","","","","",""
"Sprinklr Japan","sprinklr.com","https://sprinklr.com","https://logo.clearbit.com/sprinklr.com?size=36","","https://www.sprinklr.com/privacy/","https://www.sprinklr.com/terms/","https://blog.sprinklr.com/wp-content/uploads/2016/12/20160331_OV_EN_AdvancedSecurityProductOverview_V11.pdf","","","","","","","",""
"Liferay","liferay.com","https://liferay.com","https://logo.clearbit.com/liferay.com?size=36","https://www.liferay.com/get-price-quote","https://www.liferay.com/privacy-policy","https://www.liferay.com/legal/marketplace-terms-of-service","https://dev.liferay.com/discover/deployment/-/knowledge_base/7-0/liferay-portal-security-overview","https://web.liferay.com/community/forums/-/message_boards/message/94408782","","","","","","",""
"Anaqua","anaqua.com","https://anaqua.com","https://logo.clearbit.com/anaqua.com?size=36","","https://www.anaqua.com/privacy-policy","https://www.anaqua.com/anaqua-inc-website-terms-and-conditions-use","https://www.anaqua.com/company/news/anaqua-achieves-iso-27001-certification-security","","","","","","","",""
"Reputation.Com","reputation.com","https://reputation.com","https://logo.clearbit.com/reputation.com?size=36","","https://www.reputation.com/privacy-policy/","https://www.reputation.com/user-agreement/","https://www.reputation.com/security-faq/","https://www.reputation.com/legal/gdpr-data-processing-addendum/","45","551","575","23","1124","25","1124"
"SmartRecruiters","smartrecruiters.com","https://smartrecruiters.com","https://logo.clearbit.com/smartrecruiters.com?size=36","https://www.smartrecruiters.com/pricing/","https://www.smartrecruiters.com/privacy-policy/","https://www.smartrecruiters.com/terms-and-conditions/","","http://ta.smartrecruiters.com/gdpr-compliance.html","","","","","","",""
"Tzunami","tzunami.com","https://tzunami.com","https://logo.clearbit.com/tzunami.com?size=36","http://cloudsferdev.tzunami.com/pricing/","","http://cloudsferdev.tzunami.com/terms/","http://cloudsferdev.tzunami.com/blog/security-migration/","","","","","","","",""
"Formstack","formstack.com","https://formstack.com","https://logo.clearbit.com/formstack.com?size=36","https://www.formstack.com/pricing","https://www.formstack.com/privacy","https://www.formstack.com/terms","https://www.formstack.com/features/security","https://www.formstack.com/blog/2018/preparing-for-the-gdpr/","","","","","","",""
"Fieldwire","fieldwire.com","https://fieldwire.com","https://logo.clearbit.com/fieldwire.com?size=36","https://www.fieldwire.com/pricing/","https://www.fieldwire.com/privacy.pdf","https://www.fieldwire.com/terms.pdf","https://www.fieldwire.com/no/customers/security-101/","","","","","","","",""
"Trimble Sketchup","sketchup.com","https://sketchup.com","https://logo.clearbit.com/sketchup.com?size=36","https://help.sketchup.com/en/article/38589","http://www.trimble.com/privacy.aspx","https://www.sketchup.com/terms-of-service","https://3dwarehouse.sketchup.com/collection/u157a78ad-aa7e-4183-8be7-9999147dde03/Safety-Security-2015","","","","","","","",""
